word	label
excellent	high_quality
great	high_quality
badass	high_quality
awesomeness	high_quality
awesome	high_quality
coolest	high_quality
phenomenal	high_quality
terrific	high_quality
finest	high_quality
fabulous	high_quality
rocks	high_quality
invaluable	high_quality
best	high_quality
smartest	high_quality
priceless	high_quality
incredible	high_quality
superb	high_quality
amazing	high_quality
outstanding	high_quality
pleasantly	high_quality
extraordinary	high_quality
listens	high_quality
wonderful	high_quality
step-by-step	high_quality
enthusiatic	high_quality
gladly	high_quality
rad	high_quality
fantastic	high_quality
encyclopedic	high_quality
grateful	high_quality
influential	high_quality
bestest	high_quality
precise	high_quality
cool	high_quality
underrated	high_quality
helpfully	high_quality
sharp	high_quality
good	high_quality
swell	high_quality
legendary	high_quality
cared	high_quality
patient	high_quality
thorough	high_quality
remarkable	high_quality
rewarding	high_quality
rockstar	high_quality
inspirational	high_quality
funniest	high_quality
willing	high_quality
friendliest	high_quality
greatest	high_quality
thankful	high_quality
dedicated	high_quality
rocked	high_quality
brilliant	high_quality
enjoyed	high_quality
loved	high_quality
sweetest	high_quality
great-	high_quality
hilarious	high_quality
no-nonsense	high_quality
devoted	high_quality
exceptional	high_quality
adore	high_quality
happy	high_quality
saint	high_quality
painless	high_quality
unpretentious	high_quality
livens	high_quality
admirable	high_quality
captivating	high_quality
excellence	high_quality
wisdom	high_quality
pragmatic	high_quality
committed	high_quality
tight	high_quality
liked	high_quality
enthused	high_quality
proactive	high_quality
inspiring	high_quality
hero	high_quality
rock	high_quality
gem	high_quality
reachable	high_quality
helpful	high_quality
conscientious	high_quality
well-organized	high_quality
erudite	high_quality
baller	high_quality
props	high_quality
motivates	high_quality
brilliantly	high_quality
flawless	high_quality
bravo	high_quality
sweetie	high_quality
entertaining	high_quality
promptly	high_quality
admire	high_quality
love	high_quality
credible	high_quality
communicates	high_quality
tremendous	high_quality
impressive	high_quality
cares	high_quality
responsive	high_quality
life-changing	high_quality
interesting	high_quality
funnier	high_quality
genius	high_quality
informative	high_quality
nicest	high_quality
accessible	high_quality
succinctly	high_quality
awesomely	high_quality
respects	high_quality
well-informed	high_quality
lucid	high_quality
enthusiastic	high_quality
caring	high_quality
accommodating	high_quality
enthusiasm	high_quality
considerate	high_quality
kind	high_quality
welcoming	high_quality
receptive	high_quality
energetic	high_quality
pleasant	high_quality
intelligent	high_quality
friendly	high_quality
respectful	high_quality
positive	high_quality
chill	high_quality
knowledgable	high_quality
effective	high_quality
personable	high_quality
supportive	high_quality
passion	high_quality
approachable	high_quality
compassionate	high_quality
capable	high_quality
knowledgeable	high_quality
attentive	high_quality
professional	high_quality
passionate	high_quality
flexible	high_quality
experienced	high_quality
engaging	high_quality
motivating	high_quality
refreshing	high_quality
empathetic	high_quality
competent	high_quality
succinct	high_quality
kindness	high_quality
invested	high_quality
instructive	high_quality
enjoyable	high_quality
worthwhile	high_quality
encouraging	high_quality
pleasure	high_quality
strong	high_quality
gifted	high_quality
hearted	high_quality
smoothly	high_quality
nice	high_quality
smart	high_quality
struggles	low_quality
humiliate	low_quality
unsympathetic	low_quality
belittles	low_quality
superficial	low_quality
unstable	low_quality
obsolete	low_quality
insulting	low_quality
disinterested	low_quality
idiotic	low_quality
neglected	low_quality
yells	low_quality
drones	low_quality
inefficient	low_quality
ill-prepared	low_quality
unbearable	low_quality
poorly	low_quality
overcomplicates	low_quality
uninteresting	low_quality
painful	low_quality
ramble	low_quality
dreadful	low_quality
ignores	low_quality
obnoxious	low_quality
overrated	low_quality
inflexible	low_quality
inexperienced	low_quality
disjointed	low_quality
criticizes	low_quality
muddled	low_quality
rambler	low_quality
ditz	low_quality
ridiculous	low_quality
illogical	low_quality
aggravating	low_quality
wastes	low_quality
tangential	low_quality
unimpressed	low_quality
inconsiderate	low_quality
scatterbrained	low_quality
helpless	low_quality
babbling	low_quality
judgmental	low_quality
patronizing	low_quality
subpar	low_quality
mistakes	low_quality
disconnected	low_quality
punished	low_quality
typos	low_quality
loser	low_quality
desperate	low_quality
uncaring	low_quality
creepy	low_quality
unethical	low_quality
parrot	low_quality
ruins	low_quality
degrading	low_quality
unenthusiastic	low_quality
rotten	low_quality
unfunny	low_quality
ignored	low_quality
horrendous	low_quality
dick	low_quality
contradicting	low_quality
jackass	low_quality
boring	low_quality
torture	low_quality
judgemental	low_quality
pompous	low_quality
petty	low_quality
unenjoyable	low_quality
evil	low_quality
cocky	low_quality
impatient	low_quality
unkind	low_quality
contempt	low_quality
unproductive	low_quality
screws	low_quality
blah	low_quality
flake	low_quality
gibberish	low_quality
horrid	low_quality
questionable	low_quality
inconsistent	low_quality
self-absorbed	low_quality
wasted	low_quality
scatter-brained	low_quality
ruin	low_quality
bully	low_quality
apathetic	low_quality
miserable	low_quality
arbitrarily	low_quality
biased	low_quality
inaccessible	low_quality
laughable	low_quality
jumbled	low_quality
over-rated	low_quality
mediocre	low_quality
neglects	low_quality
vindictive	low_quality
dumber	low_quality
worse	low_quality
unfocused	low_quality
abysmal	low_quality
egotistical	low_quality
flaky	low_quality
boringest	low_quality
inappropriate	low_quality
arrogance	low_quality
regurgitates	low_quality
narrow-minded	low_quality
hostile	low_quality
egomaniac	low_quality
favoritism	low_quality
hypocrite	low_quality
condescending	low_quality
frustrating	low_quality
uninformed	low_quality
inferior	low_quality
rambled	low_quality
babbles	low_quality
ugh	low_quality
unfriendly	low_quality
weirdest	low_quality
arrogant	low_quality
disaster	low_quality
ridiculed	low_quality
demeaning	low_quality
discouraging	low_quality
defensive	low_quality
discourages	low_quality
haphazard	low_quality
pretends	low_quality
incompetent	low_quality
senile	low_quality
narcissistic	low_quality
incorrect	low_quality
manipulative	low_quality
unpleasant	low_quality
self-centered	low_quality
unavailable	low_quality
confuse	low_quality
scattered	low_quality
disappointment	low_quality
stupidest	low_quality
unengaging	low_quality
witch	low_quality
unapproachable	low_quality
insensitive	low_quality
irresponsible	low_quality
unreliable	low_quality
disappointing	low_quality
incapable	low_quality
confused	low_quality
jerk	low_quality
confuses	low_quality
insecure	low_quality
meanest	low_quality
pathetic	low_quality
vague	low_quality
rambles	low_quality
lousy	low_quality
unresponsive	low_quality
disgrace	low_quality
rambling	low_quality
complicates	low_quality
unwilling	low_quality
rude	low_quality
waste	low_quality
uninspiring	low_quality
sucks	low_quality
inability	low_quality
unprofessional	low_quality
uninformative	low_quality
unprepared	low_quality
confusing	low_quality
rudest	low_quality
laziest	low_quality
mean-spirited	low_quality
pointless	low_quality
incomprehensible	low_quality
ruined	low_quality
awful	low_quality
incoherent	low_quality
disorganized	low_quality
poor	low_quality
useless	low_quality
worthless	low_quality
unorganized	low_quality
ineffective	low_quality
unclear	low_quality
unhelpful	low_quality
horrible	low_quality
terrible	low_quality
worst	low_quality
ambiguous	low_quality
inconsistencies	low_quality
redundant	low_quality
strange	low_quality
arbitrary	low_quality
lacking	low_quality
harsh	low_quality
unnecessarily	low_quality
tedious	low_quality
messy	low_quality
unfair	low_quality
unreasonably	low_quality
rough	low_quality
repetitive	low_quality
harshly	low_quality
annoying	low_quality
sucked	low_quality
willing	helpful
nice	helpful
helpfully	helpful
eager	helpful
saint	helpful
sweet	helpful
gladly	helpful
pleasantly	helpful
accomodating	helpful
sweetest	helpful
helpful	helpful
nicest	helpful
spoonfed	helpful
respects	helpful
cares	helpful
considerate	helpful
encouraged	helpful
well-meaning	helpful
mentor	helpful
accommodating	helpful
patient	helpful
supplemental	helpful
revisions	helpful
conscientious	helpful
spoon-fed	helpful
caring	helpful
friendly	helpful
respectful	helpful
approachable	helpful
kind	helpful
welcoming	helpful
receptive	helpful
attentive	helpful
ready	helpful
available	helpful
enthusiastic	helpful
responsive	helpful
encouraging	helpful
readily	helpful
patiently	helpful
empathetic	helpful
supportive	helpful
flexible	helpful
responded	helpful
personable	helpful
energetic	helpful
dedicated	helpful
kindness	helpful
willingness	helpful
promptly	helpful
invested	helpful
accessible	helpful
generous	helpful
feedback	helpful
respect	helpful
compassionate	helpful
accommodate	helpful
responding	helpful
hearted	helpful
answered	helpful
enthusiasm	helpful
help	helpful
motivating	helpful
engaged	helpful
pleasant	helpful
heartless	unhelpful
punishing	unhelpful
dismisses	unhelpful
mocking	unhelpful
judgemental	unhelpful
reluctant	unhelpful
discourages	unhelpful
refuse	unhelpful
aggressive	unhelpful
criticizes	unhelpful
degrading	unhelpful
confrontational	unhelpful
impersonal	unhelpful
discouraging	unhelpful
ignored	unhelpful
patronizing	unhelpful
inconsiderate	unhelpful
careless	unhelpful
insensitive	unhelpful
unfair	unhelpful
impatient	unhelpful
biased	unhelpful
humiliate	unhelpful
unresponsive	unhelpful
belittles	unhelpful
abusive	unhelpful
disrespectful	unhelpful
inflexible	unhelpful
inaccessible	unhelpful
dismissive	unhelpful
uncaring	unhelpful
insulting	unhelpful
unfairly	unhelpful
hostile	unhelpful
unavailable	unhelpful
aloof	unhelpful
demeaning	unhelpful
unsympathetic	unhelpful
refuses	unhelpful
refused	unhelpful
condescending	unhelpful
unwilling	unhelpful
unapproachable	unhelpful
rude	unhelpful
unhelpful	unhelpful
unreasonable	unhelpful
forgot	unhelpful
easy	easy
easiest	easy
breeze	easy
ez	easy
straightforward	easy
booster	easy
lenient	easy
simple	easy
easy-	easy
straight-forward	easy
chill	easy
super-easy	easy
oversimplified	easy
stress-free	easy
slowly	easy
laughable	easy
relaxed	easy
easy-going	easy
slow-paced	easy
leniently	easy
remedial	easy
simplistic	easy
superficial	easy
easygoing	easy
easiness	easy
kindergarten	easy
simplest	easy
basic	easy
relaxing	easy
forgiving	easy
fair/easy	easy
chillest	easy
generous	easy
high-school	easy
cinch	easy
self-explanatory	easy
effortless	easy
easily	easy
manageable	easy
intuitive	easy
understandable	easy
digestible	easy
screwed	difficult
destroying	difficult
deducts	difficult
cramming	difficult
intimidates	difficult
overkill	difficult
difficult-	difficult
nitpicky	difficult
flunked	difficult
dense	difficult
semi-difficult	difficult
failure	difficult
hard-	difficult
fast-paced	difficult
meticulous	difficult
fast	difficult
hellish	difficult
intimidate	difficult
difficultly	difficult
struggled	difficult
overwhelming	difficult
challenged	difficult
unforgiving	difficult
challenge	difficult
weed-out	difficult
tricky	difficult
stringent	difficult
merciless	difficult
destroy	difficult
hardcore	difficult
marathon	difficult
suffered	difficult
challenges	difficult
rough	difficult
weeder	difficult
suffer	difficult
picky	difficult
rigorous	difficult
unrealistic	difficult
intensive	difficult
hardass	difficult
murder	difficult
brutally	difficult
fail	difficult
pushes	difficult
killers	difficult
harder	difficult
intimidating	difficult
strict	difficult
ruthless	difficult
failed	difficult
unfair	difficult
harsh	difficult
weeding	difficult
harshly	difficult
failing	difficult
impossible	difficult
demands	difficult
challenging	difficult
intense	difficult
hard	difficult
difficult	difficult
demanding	difficult
toughest	difficult
killer	difficult
brutal	difficult
tough	difficult
hardest	difficult
tedious	difficult
cram	difficult
complicated	difficult
unreasonably	difficult
descriptive	clear
to-the-point	clear
efficient	clear
clear	clear
thorough	clear
well-organized	clear
synthesis	clear
explains	clear
precisely	clear
precise	clear
digestible	clear
articulates	clear
eloquent	clear
reinforces	clear
thoroughly	clear
well-prepared	clear
recap	clear
slow-paced	clear
succinctly	clear
snappy	clear
efficiently	clear
well-spoken	clear
summaries	clear
concise	clear
clearly	clear
concisely	clear
patiently	clear
succinct	clear
informative	clear
effectively	clear
explanations	clear
understandable	clear
organized	clear
patient	clear
cleared	clear
detailed	clear
engaging	clear
clarifying	clear
clarity	clear
instructive	clear
absent-minded	unclear
contradicts	unclear
nonsensical	unclear
inconsistent	unclear
spews	unclear
complicate	unclear
flustered	unclear
wanders	unclear
sloppy	unclear
decipher	unclear
scrambled	unclear
cryptic	unclear
jumps	unclear
inconsistencies	unclear
ambiguous	unclear
arbitrary	unclear
tangents	unclear
typos	unclear
scattered	unclear
